Word;Part of speech;Translation;example;theme
to eat;verb;ru: есть--ua: їсти;He ate breakfast. + She ate too much. + They ate at a restaurant.;ua: базові дієслова -- ru: базовые глаголы
to edit;verb;ru: редактировать--ua: редагувати;He edited the text. + She edited the video. + They edited the final report.;ua: базові дієслова -- ru: базовые глаголы
to educate;verb;ru: обучать--ua: навчати;He educated his children. + She educated herself about the topic. + They educated the public on health issues.;ua: базові дієслова -- ru: базовые глаголы
to employ;verb;ru: нанимать, использовать--ua: наймати, використовувати;He employed a new worker. + She employed a different method. + They employed advanced technology.;ua: базові дієслова -- ru: базовые глаголы
to enable;verb;ru: позволять, давать возможность--ua: давати змогу, уможливлювати;He enabled the function. + She enabled notifications. + They enabled remote access.;ua: базові дієслова -- ru: базовые глаголы
to enclose;verb;ru: прилагать, окружать--ua: додавати, оточувати;He enclosed a check. + She enclosed the area with a fence. + They enclosed a letter with the package.;ua: базові дієслова -- ru: базовые глаголы
to encourage;verb;ru: поощрять, поддерживать--ua: заохочувати, підтримувати;He encouraged her to try. + She encouraged creativity. + They encouraged the students.;ua: базові дієслова -- ru: базовые глаголы
to end;verb;ru: заканчивать--ua: закінчувати;He ended the conversation. + She ended the relationship. + They ended the meeting.;ua: базові дієслова -- ru: базовые глаголы
to engage;verb;ru: вовлекать, привлекать--ua: залучати, приваблювати;He engaged the audience. + She engaged in conversation. + They engaged new customers.;ua: базові дієслова -- ru: базовые глаголы
to enhance;verb;ru: улучшать--ua: покращувати;He enhanced the design. + She enhanced her skills. + They enhanced the security system.;ua: базові дієслова -- ru: базовые глаголы
to enjoy;verb;ru: наслаждаться--ua: насолоджуватися;He enjoyed the movie. + She enjoyed the meal. + They enjoyed their vacation.;ua: базові дієслова -- ru: базовые глаголы
to enlarge;verb;ru: увеличивать--ua: збільшувати;He enlarged the image. + She enlarged the text. + They enlarged the house.;ua: базові дієслова -- ru: базовые глаголы
to ensure;verb;ru: обеспечивать, гарантировать--ua: забезпечувати, гарантувати;He ensured safety. + She ensured the success of the project. + They ensured customer satisfaction.;ua: базові дієслова -- ru: базовые глаголы
to enter;verb;ru: входить, поступать--ua: входити, вступати;He entered the room. + She entered the university. + They entered the competition.;ua: базові дієслова -- ru: базовые глаголы
to entertain;verb;ru: развлекать--ua: розважати;He entertained the guests. + She entertained the children. + They entertained the audience.;ua: базові дієслова -- ru: базовые глаголы
to equal;verb;ru: равняться, быть равным--ua: дорівнювати, бути рівним;His efforts equaled hers. + She equaled the record. + They equaled their best performance.;ua: базові дієслова -- ru: базовые глаголы
to escape;verb;ru: сбегать, избегать--ua: втікати, уникати;He escaped from prison. + She escaped the danger. + They escaped the fire unharmed.;ua: базові дієслова -- ru: базовые глаголы
to establish;verb;ru: устанавливать, основывать--ua: встановлювати, засновувати;He established a new company. + She established the rules. + They established a tradition.;ua: базові дієслова -- ru: базовые глаголы
to examine;verb;ru: исследовать, проверять--ua: досліджувати, перевіряти;He examined the patient. + She examined the evidence. + They examined the problem in detail.;ua: базові дієслова -- ru: базовые глаголы
to exceed;verb;ru: превышать--ua: перевищувати;He exceeded the speed limit. + She exceeded expectations. + They exceeded their budget.;ua: базові дієслова -- ru: базовые глаголы
to exchange;verb;ru: обменивать--ua: обмінювати;He exchanged dollars for euros. + She exchanged gifts with her friend. + They exchanged ideas.;ua: базові дієслова -- ru: базовые глаголы
to excite;verb;ru: волновать, возбуждать--ua: хвилювати, збуджувати;He excited the crowd. + She was excited about the trip. + The news excited everyone.;ua: базові дієслова -- ru: базовые глаголы
to exclude;verb;ru: исключать--ua: виключати;He excluded some details. + She was excluded from the team. + They excluded the possibility of error.;ua: базові дієслова -- ru: базовые глаголы
to excuse;verb;ru: извинять, оправдывать--ua: вибачати, виправдовувати;He excused himself from the meeting. + She excused his behavior. + They excused the delay.;ua: базові дієслова -- ru: базовые глаголы
to exercise;verb;ru: упражняться -- ua: тренуватися;She exercises every morning. + You should exercise regularly to stay healthy. + He exercises at the gym twice a week.;ua: базові дієслова -- ru: базовые глаголы
to exist;verb;ru: существовать -- ua: існувати;Does life exist on other planets? + This problem has existed for centuries. + Ghosts don’t really exist.;ua: базові дієслова -- ru: базовые глаголы
to expand;verb;ru: расширять -- ua: розширювати;The company plans to expand its business. + The universe is constantly expanding. + Heat causes metal to expand.;ua: базові дієслова -- ru: базовые глаголы
to expect;verb;ru: ожидать -- ua: очікувати;I expect him to arrive soon. + She expected a better result. + We expect good weather tomorrow.;ua: базові дієслова -- ru: базовые глаголы
to explain;verb;ru: объяснять -- ua: пояснювати;Can you explain this rule to me? + He explained how to use the software. + She explained her reasons for leaving.;ua: базові дієслова -- ru: базовые глаголы
to explore;verb;ru: исследовать -- ua: досліджувати;Scientists explore the ocean depths. + They explored the new city. + He loves to explore different cultures.;ua: базові дієслова -- ru: базовые глаголы
to export;verb;ru: экспортировать -- ua: експортувати;The country exports oil to Europe. + They export goods worldwide. + The company exports coffee and tea.;ua: базові дієслова -- ru: базовые глаголы
to express;verb;ru: выражать -- ua: висловлювати;She expressed her feelings clearly. + He expressed gratitude for the help. + Art allows people to express emotions.;ua: базові дієслова -- ru: базовые глаголы
to extend;verb;ru: продлевать -- ua: подовжувати;They extended the deadline. + The teacher extended the lesson by 10 minutes. + The road extends to the city.;ua: базові дієслова -- ru: базовые глаголы
to extract;verb;ru: извлекать -- ua: видобувати;Dentists extract bad teeth. + They extracted information from the database. + Oil is extracted from the ground.;ua: базові дієслова -- ru: базовые глаголы
to face;verb;ru: сталкиваться -- ua: стикатися;We have to face the truth. + He faced many difficulties in life. + She faced the audience confidently.;ua: базові дієслова -- ru: базовые глаголы
to fail;verb;ru: терпеть неудачу -- ua: зазнати невдачі;He failed the exam. + The project failed due to poor management. + She failed to complete the task.;ua: базові дієслова -- ru: базовые глаголы
to fall;verb;ru: падать -- ua: падати;The leaves fall in autumn. + He fell from the tree. + The temperature is falling quickly.;ua: базові дієслова -- ru: базовые глаголы
to fascinate;verb;ru: очаровывать -- ua: зачаровувати;The story fascinated the children. + Science fascinates me. + Her voice fascinates the audience.;ua: базові дієслова -- ru: базовые глаголы
to fear;verb;ru: бояться -- ua: боятися;He fears the dark. + They feared for their safety. + I fear that we are late.;ua: базові дієслова -- ru: базовые глаголы
to feed;verb;ru: кормить -- ua: годувати;She feeds her dog twice a day. + Farmers feed the cattle in the morning. + He fed the birds in the park.;ua: базові дієслова -- ru: базовые глаголы
to feel;verb;ru: чувствовать -- ua: відчувати;I feel happy today. + She felt cold and put on a jacket. + He felt a sharp pain in his arm.;ua: базові дієслова -- ru: базовые глаголы
to fight;verb;ru: сражаться -- ua: боротися;They fought for their rights. + He fought in the war. + The two teams fought for the championship.;ua: базові дієслова -- ru: базовые глаголы
to fill;verb;ru: заполнять -- ua: заповнювати;She filled the glass with water. + He filled out the form. + The room was filled with laughter.;ua: базові дієслова -- ru: базовые глаголы
to finalize;verb;ru: завершать -- ua: завершувати;They finalized the contract. + The report needs to be finalized by Friday. + He finalized the details of the trip.;ua: базові дієслова -- ru: базовые глаголы
to find;verb;ru: находить -- ua: знаходити;I found my keys under the table. + She found a great job. + He found an interesting book in the library.;ua: базові дієслова -- ru: базовые глаголы
to finish;verb;ru: заканчивать -- ua: завершувати;She finished her homework. + The race finished in an hour. + He finished eating and left.;ua: базові дієслова -- ru: базовые глаголы
to fit;verb;ru: подходить -- ua: пасувати;This shirt fits me well. + The key fits the lock. + The new sofa doesn’t fit in the room.;ua: базові дієслова -- ru: базовые глаголы
to fix;verb;ru: чинить -- ua: лагодити;He fixed the broken chair. + The plumber fixed the leak. + She fixed her computer.;ua: базові дієслова -- ru: базовые глаголы
to flow;verb;ru: течь -- ua: текти;The river flows into the sea. + Water flowed from the tap. + Traffic flowed smoothly.;ua: базові дієслова -- ru: базовые глаголы
to fly;verb;ru: летать -- ua: літати;Birds fly in the sky. + We flew to Paris last summer. + The pilot flew the plane safely.;ua: базові дієслова -- ru: базовые глаголы
to focus;verb;ru: сосредоточиться -- ua: зосередитися;He focused on his studies. + The camera focused on her face. + She needs to focus on her work.;ua: базові дієслова -- ru: базовые глаголы
to follow;verb;ru: следовать -- ua: слідувати;He followed the teacher’s instructions. + The dog followed its owner. + She followed the road signs carefully.;ua: базові дієслова -- ru: базовые глаголы
to force;verb;ru: заставлять -- ua: змушувати;They forced him to apologize. + The wind forced the door open. + She was forced to make a decision.;ua: базові дієслова -- ru: базовые глаголы
to forget;verb;ru: забывать -- ua: забувати;He forgot my birthday. + She forgot to lock the door. + I forgot where I put my phone.;ua: базові дієслова -- ru: базовые глаголы
to formulate;verb;ru: формулировать -- ua: формулювати;He formulated a new theory. + The scientist formulated a hypothesis. + She formulated her ideas clearly.;ua: базові дієслова -- ru: базовые глаголы
to found;verb;ru: основывать -- ua: засновувати;He founded a successful company. + The city was founded in the 18th century. + She founded a charity organization.;ua: базові дієслова -- ru: базовые глаголы
to freeze;verb;ru: замерзать -- ua: замерзати;The water froze overnight. + I am freezing in this cold. + He froze when he saw the bear.;ua: базові дієслова -- ru: базовые глаголы
to frighten;verb;ru: пугать -- ua: лякати;The loud noise frightened the child. + He was frightened by the dark. + The dog frightened the cat.;ua: базові дієслова -- ru: базовые глаголы
to gain;verb;ru: получать -- ua: отримувати;He gained experience at work. + She gained confidence over time. + The company gained new clients.;ua: базові дієслова -- ru: базовые глаголы
to gather;verb;ru: собирать -- ua: збирати;They gathered information for the report. + The family gathered for dinner. + She gathered flowers in the garden.;ua: базові дієслова -- ru: базовые глаголы
to get;verb;ru: получать -- ua: отримувати;He got a new job. + She got a letter from her friend. + They got home late.;ua: базові дієслова -- ru: базовые глаголы
to get dressed;verb;ru: одеваться -- ua: одягатися;He got dressed quickly. + She got dressed for the party. + They got dressed and went outside.;ua: базові дієслова -- ru: базовые глаголы
to get up;verb;ru: вставать -- ua: вставати;He gets up at 7 AM. + She got up and opened the window. + They got up early for work.;ua: базові дієслова -- ru: базовые глаголы
to give;verb;ru: давать -- ua: давати;He gave me a gift. + She gave advice to her friend. + They gave money to charity.;ua: базові дієслова -- ru: базовые глаголы
to go;verb;ru: идти -- ua: йти;She goes to school every day. + He went to the store. + They will go on vacation.;ua: базові дієслова -- ru: базовые глаголы
to greet;verb;ru: приветствовать -- ua: вітати;He greeted me with a smile. + They greeted the guests warmly. + She greeted her teacher in the morning.;ua: базові дієслова -- ru: базовые глаголы
to grow;verb;ru: расти -- ua: рости;The tree grew quickly. + He grew taller over the summer. + She grows flowers in her garden.;ua: базові дієслова -- ru: базовые глаголы
to guarantee;verb;ru: гарантировать -- ua: гарантувати;The company guarantees product quality. + He guaranteed a full refund. + This law guarantees equal rights.;ua: базові дієслова -- ru: базовые глаголы
to guard;verb;ru: охранять -- ua: охороняти;Soldiers guard the border. + He guarded the secret carefully. + The dog guards the house.;ua: базові дієслова -- ru: базовые глаголы
to guess;verb;ru: угадывать -- ua: вгадувати;Can you guess my age? + He guessed the correct answer. + She guessed what was in the box.;ua: базові дієслова -- ru: базовые глаголы
to guide;verb;ru: направлять -- ua: спрямовувати;He guided the tourists through the city. + The teacher guided the students. + She guided him in making a decision.;ua: базові дієслова -- ru: базовые глаголы
to handle;verb;ru: справляться -- ua: впоратися;She handled the situation well. + He handled the heavy box with care. + I can handle this problem.;ua: базові дієслова -- ru: базовые глаголы
to hang;verb;ru: вешать -- ua: вішати;He hung the picture on the wall. + She hung her coat on the hook. + The clothes are hanging to dry.;ua: базові дієслова -- ru: базовые глаголы
to happen;verb;ru: случаться -- ua: траплятися;What happened here? + Accidents happen every day. + A miracle happened to him.;ua: базові дієслова -- ru: базовые глаголы
to harm;verb;ru: вредить -- ua: шкодити;Pollution harms the environment. + He never harms animals. + Smoking can harm your health.;ua: базові дієслова -- ru: базовые глаголы
to hate;verb;ru: ненавидеть -- ua: ненавидіти;I hate cold weather. + She hates being late. + He hates loud music.;ua: базові дієслова -- ru: базовые глаголы
to have dinner;verb;ru: ужинать -- ua: вечеряти;We had dinner at a restaurant. + She has dinner with her family. + He had dinner early today.;ua: базові дієслова -- ru: базовые глаголы
to have;verb;ru: иметь -- ua: мати;He has a car. + She has many friends. + They have a big house.;ua: базові дієслова -- ru: базовые глаголы
to hear;verb;ru: слышать -- ua: чути;I hear music. + She heard a strange noise. + He can’t hear you.;ua: базові дієслова -- ru: базовые глаголы
to heat;verb;ru: нагревать -- ua: нагрівати;She heated the soup. + The sun heats the earth. + He heated the room with a fireplace.;ua: базові дієслова -- ru: базовые глаголы
to help;verb;ru: помогать -- ua: допомагати;She helped me with my homework. + He helps his parents at home. + Can you help me carry this bag?;ua: базові дієслова -- ru: базовые глаголы
to hesitate;verb;ru: колебаться -- ua: вагатися;He hesitated before answering. + She hesitated to ask for help. + Don’t hesitate to call me.;ua: базові дієслова -- ru: базовые глаголы
to hide;verb;ru: прятать -- ua: ховати;He hid the money under the bed. + She hides her emotions. + The sun was hidden by clouds.;ua: базові дієслова -- ru: базовые глаголы
to hint;verb;ru: намекать -- ua: натякати;She hinted at her plans. + He hinted that he needed help. + The teacher hinted about the test.;ua: базові дієслова -- ru: базовые глаголы
to hit;verb;ru: ударять -- ua: вдаряти;He hit the ball. + The car hit a tree. + She hit him on the shoulder.;ua: базові дієслова -- ru: базовые глаголы
to hold;verb;ru: держать -- ua: тримати;He held the baby in his arms. + She holds a pen. + They held hands.;ua: базові дієслова -- ru: базовые глаголы
to hope;verb;ru: надеяться -- ua: сподіватися;I hope to see you soon. + She hopes for the best. + He hopes to get the job.;ua: базові дієслова -- ru: базовые глаголы
to hunt;verb;ru: охотиться -- ua: полювати;He hunts deer in the forest. + They hunted for food. + The lion hunts at night.;ua: базові дієслова -- ru: базовые глаголы
to hurry;verb;ru: торопиться -- ua: поспішати;Hurry up, we are late! + She hurried to catch the bus. + He hurried through his work.;ua: базові дієслова -- ru: базовые глаголы
to hurt;verb;ru: причинять боль -- ua: завдавати болю;I hurt my leg. + His words hurt her feelings. + He hurt his back lifting a heavy box.;ua: базові дієслова -- ru: базовые глаголы
to identify;verb;ru: идентифицировать -- ua: ідентифікувати;She identified the thief. + He identified the problem. + They identified a new species.;ua: базові дієслова -- ru: базовые глаголы
to ignore;verb;ru: игнорировать -- ua: ігнорувати;He ignored my question. + She ignored the warning. + They ignored his advice.;ua: базові дієслова -- ru: базовые глаголы
to illustrate;verb;ru: иллюстрировать -- ua: ілюструвати;The book is illustrated with pictures. + He illustrated his point with an example. + She illustrated the concept with diagrams.;ua: базові дієслова -- ru: базовые глаголы
to imagine;verb;ru: представлять -- ua: уявляти;Can you imagine living on the Moon? + She imagined a better future. + He imagined himself as a hero.;ua: базові дієслова -- ru: базовые глаголы
to imply;verb;ru: подразумевать -- ua: мати на увазі;His words implied a threat. + She implied that she knew the answer. + The tone of his voice implied anger.;ua: базові дієслова -- ru: базовые глаголы
to impress;verb;ru: впечатлять -- ua: вражати;The view impressed me. + He impressed the audience. + She impressed her boss with hard work.;ua: базові дієслова -- ru: базовые глаголы
to improve;verb;ru: улучшать -- ua: покращувати;He improved his English. + The company improved its services. + She improved her performance.;ua: базові дієслова -- ru: базовые глаголы
to include;verb;ru: включать -- ua: включати;The package includes a free gift. + He included all details in the report. + The price includes taxes.;ua: базові дієслова -- ru: базовые глаголы
to increase;verb;ru: увеличивать -- ua: збільшувати;Prices increased last year. + He increased his speed. + The population is increasing.;ua: базові дієслова -- ru: базовые глаголы
to indicate;verb;ru: указывать -- ua: вказувати;The sign indicates the right direction. + He indicated his choice. + The study indicates a rise in temperature.;ua: базові дієслова -- ru: базовые глаголы
to inform;verb;ru: информировать -- ua: інформувати;The teacher informed us about the exam. + He informed the police. + She informed her manager.;ua: базові дієслова -- ru: базовые глаголы
to initiate;verb;ru: начинать -- ua: починати;He initiated the project. + The government initiated reforms. + She initiated a conversation.;ua: базові дієслова -- ru: базовые глаголы
to injure;verb;ru: ранить -- ua: поранити;He injured his arm. + She was injured in an accident. + The player injured his knee.;ua: базові дієслова -- ru: базовые глаголы
to insist;verb;ru: настаивать -- ua: наполягати;He insisted on paying. + She insisted that she was right. + They insisted on a refund.;ua: базові дієслова -- ru: базовые глаголы
to inspire;verb;ru: вдохновлять -- ua: надихати;She inspired me to write. + His story inspired millions. + The movie inspired him.;ua: базові дієслова -- ru: базовые глаголы
to install;verb;ru: устанавливать -- ua: встановлювати;He installed the software. + The workers installed new windows. + She installed a security camera.;ua: базові дієслова -- ru: базовые глаголы
to institute;verb;ru: учреждать -- ua: засновувати;The school instituted new rules. + They instituted a scholarship program. + The government instituted reforms.;ua: базові дієслова -- ru: базовые глаголы
to insure;verb;ru: страховать -- ua: страхувати;He insured his car. + The company insures property. + She insured her health.;ua: базові дієслова -- ru: базовые глаголы
to intend;verb;ru: намереваться -- ua: мати намір;He intends to leave. + She intends to study abroad. + They intend to buy a house.;ua: базові дієслова -- ru: базовые глаголы
to interest;verb;ru: интересовать -- ua: цікавити;This book interests me. + The topic interests many people. + He is interested in history.;ua: базові дієслова -- ru: базовые глаголы
to introduce;verb;ru: представлять -- ua: представляти;He introduced me to his friend. + She introduced a new idea. + The teacher introduced the topic.;ua: базові дієслова -- ru: базовые глаголы
to invent;verb;ru: изобретать -- ua: винаходити;He invented the telephone. + She invented a new game. + Scientists invent new technologies.;ua: базові дієслова -- ru: базовые глаголы
to investigate;verb;ru: расследовать -- ua: розслідувати;The police investigated the case. + He is investigating the problem. + Scientists are investigating a new disease.;ua: базові дієслова -- ru: базовые глаголы
to invite;verb;ru: приглашать -- ua: запрошувати;She invited me to the party. + He invited them for dinner. + They invited all their friends.;ua: базові дієслова -- ru: базовые глаголы
to iron;verb;ru: гладить -- ua: прасувати;She is ironing her dress. + He ironed his shirt. + I need to iron my clothes.;ua: базові дієслова -- ru: базовые глаголы
to issue;verb;ru: выдавать -- ua: видавати;The government issued a new law. + The bank issued a credit card. + The company issued a statement.;ua: базові дієслова -- ru: базовые глаголы
to join;verb;ru: присоединяться -- ua: приєднуватися;He joined the club. + She joined a yoga class. + They joined the discussion.;ua: базові дієслова -- ru: базовые глаголы
to joke;verb;ru: шутить -- ua: жартувати;He joked about his mistake. + She likes to joke. + They joked with their friends.;ua: базові дієслова -- ru: базовые глаголы
to jump;verb;ru: прыгать -- ua: стрибати;He jumped over the fence. + She jumped with joy. + The cat jumped onto the table.;ua: базові дієслова -- ru: базовые глаголы
to keep;verb;ru: держать -- ua: тримати;He keeps his promises. + She keeps a diary. + They kept the secret.;ua: базові дієслова -- ru: базовые глаголы
to kick;verb;ru: пинать -- ua: бити ногою;He kicked the ball. + She kicked the door open. + The horse kicked him.;ua: базові дієслова -- ru: базовые глаголы
to kid;verb;ru: подшучивать -- ua: жартувати;He was just kidding. + She kids her little brother. + They like to kid around.;ua: базові дієслова -- ru: базовые глаголы
to kill;verb;ru: убивать -- ua: вбивати;The hunter killed a deer. + He was killed in an accident. + The poison can kill insects.;ua: базові дієслова -- ru: базовые глаголы
to kiss;verb;ru: целовать -- ua: цілувати;He kissed her on the cheek. + She kissed the baby. + They kissed goodbye.;ua: базові дієслова -- ru: базовые глаголы
to knock;verb;ru: стучать -- ua: стукати;He knocked on the door. + She knocked three times. + Someone is knocking at the window.;ua: базові дієслова -- ru: базовые глаголы
to know;verb;ru: знать -- ua: знати;I know the answer. + She knows a lot about history. + They knew each other for years.;ua: базові дієслова -- ru: базовые глаголы
to lack;verb;ru: не хватать -- ua: бракувати;He lacks confidence. + The project lacks funding. + They lack experience.;ua: базові дієслова -- ru: базовые глаголы
to laugh;verb;ru: смеяться -- ua: сміятися;She laughed at the joke. + He couldn't stop laughing. + They laughed together.;ua: базові дієслова -- ru: базовые глаголы
to lay;verb;ru: класть -- ua: класти;She laid the book on the table. + He laid his hand on my shoulder. + The hen lays eggs.;ua: базові дієслова -- ru: базовые глаголы
to lead;verb;ru: вести -- ua: вести;He led the team to victory. + She leads an active life. + They led the discussion.;ua: базові дієслова -- ru: базовые глаголы
to lean;verb;ru: наклоняться -- ua: нахилятися;He leaned against the wall. + She leaned closer to hear better. + They leaned forward.;ua: базові дієслова -- ru: базовые глаголы
to learn;verb;ru: учить -- ua: вчити;I am learning English. + She learned a new skill. + He learns quickly.;ua: базові дієслова -- ru: базовые глаголы
to leave;verb;ru: покидать -- ua: залишати;She left the house early. + He left his keys on the table. + They left for vacation.;ua: базові дієслова -- ru: базовые глаголы
to lend;verb;ru: одалживать -- ua: позичати;He lent me his book. + She lent her friend some money. + The bank lends money to customers.;ua: базові дієслова -- ru: базовые глаголы
to let;verb;ru: позволять -- ua: дозволяти;Let me help you. + She let him go. + They let their kids play outside.;ua: базові дієслова -- ru: базовые глаголы
to lie;verb;ru: лежать / лгать -- ua: лежати / брехати;He lies on the sofa. + She lied about her age. + The book is lying on the table.;ua: базові дієслова -- ru: базовые глаголы
to lift;verb;ru: поднимать -- ua: піднімати;He lifted the box. + She lifted her head. + They lifted weights at the gym.;ua: базові дієслова -- ru: базовые глаголы
to like;verb;ru: нравиться -- ua: подобатися;I like ice cream. + She likes reading books. + They like to travel.;ua: базові дієслова -- ru: базовые глаголы
to limit;verb;ru: ограничивать -- ua: обмежувати;The law limits our rights. + They limited the number of participants. + She limits her spending.;ua: базові дієслова -- ru: базовые глаголы
to listen;verb;ru: слушать -- ua: слухати;He listens to music. + She listened carefully. + They listened to the teacher.;ua: базові дієслова -- ru: базовые глаголы
to live;verb;ru: жить -- ua: жити;I live in Kyiv. + She lived in London for a year. + They live in a small town.;ua: базові дієслова -- ru: базовые глаголы
to load;verb;ru: загружать -- ua: завантажувати;He loaded the truck. + She loaded the dishwasher. + They loaded the program on the computer.;ua: базові дієслова -- ru: базовые глаголы
to lock;verb;ru: запирать -- ua: замика́ти;He locked the door. + She locked her bike. + They locked the safe.;ua: базові дієслова -- ru: базовые глаголы
to look;verb;ru: смотреть -- ua: дивитися;He looked at the painting. + She looked out the window. + They looked happy.;ua: базові дієслова -- ru: базовые глаголы
to lose;verb;ru: терять -- ua: губити;He lost his wallet. + She lost the game. + They lost track of time.;ua: базові дієслова -- ru: базовые глаголы
to love;verb;ru: любить -- ua: любити;I love my family. + She loves chocolate. + They love going to the beach.;ua: базові дієслова -- ru: базовые глаголы
to maintain;verb;ru: поддерживать -- ua: підтримувати;He maintains his car well. + She maintains a healthy diet. + They maintain good relationships.;ua: базові дієслова -- ru: базовые глаголы
to make;verb;ru: делать -- ua: робити;She made a cake. + He made a mistake. + They made a decision.;ua: базові дієслова -- ru: базовые глаголы
to manage;verb;ru: управлять -- ua: керувати;He manages a big company. + She managed to finish on time. + They manage their money carefully.;ua: базові дієслова -- ru: базовые глаголы
to mark;verb;ru: отмечать -- ua: позначати;He marked the date on his calendar. + She marked the important words. + They marked the territory.;ua: базові дієслова -- ru: базовые глаголы
to match;verb;ru: соответствовать -- ua: відповідати;Her shoes match her dress. + He matched the puzzle pieces. + They matched the colors perfectly.;ua: базові дієслова -- ru: базовые глаголы
to mean;verb;ru: значить -- ua: означати;What does this word mean? + She meant no harm. + They mean a lot to me.;ua: базові дієслова -- ru: базовые глаголы
to measure;verb;ru: измерять -- ua: вимірювати;He measured the table. + She measured the ingredients. + They measured the distance.;ua: базові дієслова -- ru: базовые глаголы
to meet;verb;ru: встречать -- ua: зустрічати;He met his friend at the café. + She met her teacher. + They met at the airport.;ua: базові дієслова -- ru: базовые глаголы
to mention;verb;ru: упоминать -- ua: згадувати;He mentioned your name. + She mentioned an interesting fact. + They mentioned their plans.;ua: базові дієслова -- ru: базовые глаголы
to mind;verb;ru: возражать -- ua: заперечувати;Do you mind if I sit here? + She doesn’t mind the noise. + They don’t mind helping.;ua: базові дієслова -- ru: базовые глаголы
to miss;verb;ru: скучать / пропускать -- ua: сумувати / пропускати;I miss my family. + She missed the bus. + They missed the opportunity.;ua: базові дієслова -- ru: базовые глаголы
to mix;verb;ru: смешивать -- ua: змішувати;She mixed the ingredients. + He mixed colors to make purple. + They mixed the cement.;ua: базові дієслова -- ru: базовые глаголы
to move;verb;ru: двигаться -- ua: рухатися;He moved to another city. + She moved closer. + They moved the furniture.;ua: базові дієслова -- ru: базовые глаголы
to murder;verb;ru: убивать -- ua: вбивати;The detective investigated the murder. + He murdered his rival. + She was murdered in her home.;ua: базові дієслова -- ru: базовые глаголы
to need;verb;ru: нуждаться -- ua: потребувати;I need help. + She needs a new phone. + They need to finish the project.;ua: базові дієслова -- ru: базовые глаголы
to note;verb;ru: отмечать -- ua: відзначати;He noted the difference. + She noted down the address. + They noted an increase in sales.;ua: базові дієслова -- ru: базовые глаголы
to notice;verb;ru: замечать -- ua: помічати;He noticed a mistake. + She noticed a new shop. + They noticed the change.;ua: базові дієслова -- ru: базовые глаголы
to notify;verb;ru: уведомлять -- ua: повідомляти;The bank notified me. + She notified the police. + They notified their boss.;ua: базові дієслова -- ru: базовые глаголы
to observe;verb;ru: наблюдать -- ua: спостерігати;He observed the stars. + She observed the experiment. + They observed the behavior.;ua: базові дієслова -- ru: базовые глаголы
to obtain;verb;ru: получать -- ua: отримувати;He obtained a visa. + She obtained permission. + They obtained good results.;ua: базові дієслова -- ru: базовые глаголы
to occur;verb;ru: происходить -- ua: відбуватися;The event occurred at night. + It occurs naturally. + A problem occurred.;ua: базові дієслова -- ru: базовые глаголы
to offer;verb;ru: предлагать -- ua: пропонувати;He offered me a job. + She offered to help. + They offered a discount.;ua: базові дієслова -- ru: базовые глаголы
to open;verb;ru: открывать -- ua: відкривати;He opened the door. + She opened a new store. + They opened the letter.;ua: базові дієслова -- ru: базовые глаголы
to operate;verb;ru: управлять / оперировать -- ua: керувати / оперувати;He operates heavy machinery. + The doctor operated on the patient. + The company operates in many countries.;ua: базові дієслова -- ru: базовые глаголы
to oppose;verb;ru: противостоять -- ua: протистояти;They opposed the new law. + She opposed his decision. + He opposes corruption.;ua: базові дієслова -- ru: базовые глаголы
to order;verb;ru: заказывать / приказывать -- ua: замовляти / наказувати;She ordered a pizza. + He ordered his troops to attack. + They ordered new furniture.;ua: базові дієслова -- ru: базовые глаголы
to organize;verb;ru: организовывать -- ua: організовувати;She organized the event. + He organized his desk. + They organized a protest.;ua: базові дієслова -- ru: базовые глаголы
to originate;verb;ru: происходить -- ua: походити;The idea originated in Japan. + The tradition originates from ancient times. + The disease originated in animals.;ua: базові дієслова -- ru: базовые глаголы
to overcome;verb;ru: преодолевать -- ua: долати;He overcame his fear. + She overcame many obstacles. + They overcame the difficulties.;ua: базові дієслова -- ru: базовые глаголы
to oversee;verb;ru: контролировать -- ua: контролювати;He oversees the project. + She oversees the work of employees. + They oversee operations in the company.;ua: базові дієслова -- ru: базовые глаголы
to owe;verb;ru: быть должным -- ua: бути винним;I owe you money. + She owes her success to hard work. + They owe their parents a lot.;ua: базові дієслова -- ru: базовые глаголы
to own;verb;ru: владеть -- ua: володіти;He owns a house. + She owns a small business. + They own several cars.;ua: базові дієслова -- ru: базовые глаголы
to pack;verb;ru: упаковывать -- ua: пакувати;She packed her suitcase. + He packed the gifts. + They packed the food for the trip.;ua: базові дієслова -- ru: базовые глаголы
to paint;verb;ru: красить / рисовать -- ua: фарбувати / малювати;He painted the walls. + She painted a beautiful picture. + They painted the fence.;ua: базові дієслова -- ru: базовые глаголы
to participate;verb;ru: участвовать -- ua: брати участь;He participated in the competition. + She participated in the discussion. + They participated in the event.;ua: базові дієслова -- ru: базовые глаголы
to pass;verb;ru: проходить / передавать -- ua: проходити / передавати;He passed the exam. + She passed the salt. + They passed through the city.;ua: базові дієслова -- ru: базовые глаголы
to pause;verb;ru: приостанавливать -- ua: призупиняти;He paused the video. + She paused for a moment. + They paused their conversation.;ua: базові дієслова -- ru: базовые глаголы
to pay;verb;ru: платить -- ua: платити;He paid the bill. + She paid for the tickets. + They paid a lot of money.;ua: базові дієслова -- ru: базовые глаголы
